SK_ID_CURR,EXT_SOURCE_2,EXT_SOURCE_3,CREDIT_TO_ANNUITY_RATIO,DAYS_BIRTH,PROPORTION_LIFE_EMPLOYED,CREDIT_TO_ANNUITY_RATIO_BY_AGE,DAYS_ID_PUBLISH,DAYS_REGISTRATION,DAYS_EMPLOYED,DAYS_LAST_PHONE_CHANGE,INCOME_TO_ANNUITY_RATIO_BY_AGE,AMT_ANNUITY,INCOME_TO_ANNUITY_RATIO,INCOME_TO_CREDIT_RATIO,AMT_CREDIT,REGION_POPULATION_RELATIVE,AMT_GOODS_PRICE,INCOME_TO_FAMILYSIZE_RATIO,AMT_INCOME_TOTAL,HOUR_APPR_PROCESS_START,AMT_REQ_CREDIT_BUREAU_YEAR,OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,CNT_FAM_MEMBERS,AMT_REQ_CREDIT_BUREAU_QRT
389676,0.27001822481138404,0.8599241760145402,19.64019168827088,-18948,0.42009710787418203,-372142.35210935655,-2473,-7336.0,-7960.0,-281.0,-66985.62337968418,57280.5,3.5352345038887583,0.18,1125000.0,0.008865999999999999,1125000.0,50625.0,202500.0,18,1.0,0.0,0.0,4.0,0.0
286020,0.4786775297704238,0.6496203111237195,30.166490709459467,-21137,0.01570705398117046,-637629.1141258446,-4538,-5866.0,-332.0,-153.0,-145049.0920608108,42624.0,6.862331081081082,0.2274819151877425,1285816.5,0.009175,1152000.0,146250.0,292500.0,9,4.0,1.0,1.0,2.0,0.0
386563,0.5699643567445468,0.6347055309763198,20.67685269899361,-23526,0.10134130924566198,-486443.63659652346,-4907,-4881.0,-2384.155641313444,-350.0,-129145.47118023787,24592.5,5.4894784995425425,0.2654890751245586,508495.5,0.030755,454500.0,67500.0,135000.0,9,3.0,0.0,0.0,2.0,0.0
225983,0.7096739893814458,0.6832688314232291,20.0,-20793,0.10643004857403934,-415860.0,-4040,-2043.0,-2213.0,-1701.0,-374274.0,6750.0,18.0,0.9,135000.0,0.01885,135000.0,60750.0,121500.0,11,3.0,0.0,0.0,2.0,0.0
156630,0.451721537623432,0.5656079814115492,12.618296529968454,-11588,0.10338280980324474,-146220.82018927444,-3922,-1734.0,-1198.0,-404.0,-48740.27339642481,42795.0,4.206098843322819,0.3333333333333333,540000.0,0.015221,540000.0,60000.0,180000.0,10,3.0,0.0,0.0,3.0,0.0
310009,0.5206549874924932,0.7165702448010511,20.723241114910373,-20286,0.1175271439077908,-420391.6692570718,-3662,-8056.0,-2384.155641313444,-2197.0,-50447.00031084862,43429.5,2.4867889337892453,0.12,900000.0,0.00702,900000.0,54000.0,108000.0,9,1.0,13.0,13.0,2.0,1.0
384329,0.565332825368456,0.7503751495159068,25.16332254584681,-13439,0.28164297938834737,-338169.8916936354,-4167,-443.0,-3785.0,-841.0,-86983.81877022653,62572.5,6.472491909385114,0.2572192880170108,1574532.0,0.018801,1350000.0,101250.0,405000.0,10,1.0,0.0,0.0,4.0,1.0
205451,0.11735781004328324,0.5108556388496169,28.128668701573144,-16310,0.030472103004291845,-458778.5865226579,-1001,-908.0,-497.0,0.0,-95738.43625264146,38331.0,5.8699225170227765,0.2086811352253756,1078200.0,0.006629,900000.0,75000.0,225000.0,6,1.8999537571385068,7.0,7.0,3.0,0.26547538037573265
206853,0.5322663335693761,0.5108556388496169,10.235913433417819,-16657,0.18814912649336613,-170499.61006044064,-201,-9337.0,-3134.0,-162.0,-56833.20335348023,46161.0,3.411971144472606,0.3333333333333333,472500.0,0.031329,454500.0,157500.0,157500.0,9,1.8999537571385068,1.0,1.0,1.0,0.26547538037573265
340745,0.4945352055566245,0.5108556388496169,19.585669781931465,-13049,0.2340409226760672,-255573.40498442372,-2543,-3636.0,-3054.0,-1021.0,-46458.388963061865,40446.0,3.5603026257231867,0.1817809993410439,792162.0,0.0228,630000.0,72000.0,144000.0,15,0.0,0.0,0.0,2.0,0.0
430711,0.5860177918590295,0.5108556388496169,31.31782945736434,-23516,0.10138440386602499,-736470.0775193798,-4022,-9997.0,-2384.155641313444,-342.0,-131252.09302325582,14512.5,5.5813953488372094,0.1782178217821782,454500.0,0.018634,454500.0,81000.0,81000.0,14,1.8999537571385068,2.0,1.0,1.0,0.26547538037573265
368703,0.5333713316476699,0.7713615919194317,37.78450498934858,-12220,0.031014729950900162,-461726.6509698397,-126,-1729.0,-379.0,-2108.0,-47953.80648054714,40135.5,3.9242067496356094,0.10385756676557864,1516500.0,0.026392000000000002,1516500.0,52500.0,157500.0,16,1.0,2.0,2.0,3.0,0.0
249193,0.152247819407298,0.5108556388496169,14.754863813229573,-19105,0.12479223456233678,-281891.673151751,-512,-153.0,-2384.155641313444,-139.0,-213723.24902723735,9252.0,11.186770428015564,0.758175105485232,136512.0,0.018029,108000.0,103500.0,103500.0,6,1.8999537571385068,1.0,1.0,1.0,0.26547538037573265
131244,0.5817514653244674,0.39449540531239935,20.6921237244898,-8738,0.22110322728313114,-180807.77710459183,-1156,-8738.0,-1932.0,-875.0,-55727.04081632653,28224.0,6.3775510204081645,0.3082115255699987,584014.5,0.020713,522000.0,60000.0,180000.0,12,8.0,1.0,1.0,3.0,1.0
209176,0.6556292515239256,0.7610263695502636,20.0,-14183,0.0805189311147148,-283660.0,-3968,-5523.0,-1142.0,-1077.0,-141830.0,45000.0,10.0,0.5,900000.0,0.010643000000000001,900000.0,450000.0,450000.0,14,1.0,8.0,8.0,1.0,0.0
125608,0.3542247319929012,0.7407990879702335,34.07642421159715,-13889,0.02368781049751601,-473287.4558748728,-4481,-6152.0,-329.0,-1874.0,-61815.23397761952,35388.0,4.450661241098677,0.13060822384010567,1205896.5,0.035792000000000004,1053000.0,39375.0,157500.0,12,2.0,0.0,0.0,4.0,0.0
441895,0.28331995414217764,0.5108556388496169,20.0,-15873,0.029862029862029862,-317460.0,-4308,-7311.0,-474.0,-2553.0,-119047.5,9000.0,7.5,0.375,180000.0,0.014464,180000.0,33750.0,67500.0,5,1.8999537571385068,0.0,0.0,2.0,0.26547538037573265
259066,0.48332310652232796,0.5108556388496169,20.0,-20308,0.2177959424857199,-406160.0,-1720,-4436.0,-4423.0,-253.0,-225644.4444444445,10125.0,11.111111111111107,0.5555555555555556,202500.0,0.026392000000000002,202500.0,56250.0,112500.0,19,1.8999537571385068,1.0,1.0,2.0,0.26547538037573265
102440,0.7251955327122435,0.7838324335199619,22.067061143984226,-14454,0.11602324616023245,-318957.301775148,-4184,-1556.0,-1677.0,0.0,-42763.313609467456,45630.0,2.9585798816568047,0.1340722202359671,1006920.0,0.019101,900000.0,33750.0,135000.0,17,2.0,1.0,1.0,4.0,0.0
124779,0.45118541715167604,0.5108556388496169,20.0,-8338,0.015951067402254736,-166760.0,-1001,-8338.0,-133.0,-1569.0,-83380.0,6750.0,10.0,0.5,135000.0,0.007120000000000001,135000.0,67500.0,67500.0,14,0.0,4.0,4.0,1.0,0.0
189071,0.3724015316615471,0.4382813743111921,12.657472978009693,-12349,0.2349987853267471,-156307.13380544167,-79,-4594.0,-2902.0,-18.0,-76711.39271959249,36220.5,6.211951795254067,0.4907734589713389,458460.0,0.002506,405000.0,112500.0,225000.0,6,1.0,0.0,0.0,2.0,0.0
310902,0.6200896710037888,0.5046813193144684,20.56017654048549,-17064,0.07003047351148617,-350838.85248684435,-615,-9576.0,-1195.0,-1159.0,-69518.92717704973,26509.5,4.07401120353081,0.19815059445178326,545040.0,0.00733,450000.0,108000.0,108000.0,12,5.0,0.0,0.0,1.0,0.0
279445,0.5672501973678808,0.6610235391308081,9.691780821917806,-19178,0.009750756074668892,-185868.97260273973,-2688,-6108.0,-187.0,-620.0,-140738.74755381607,18396.0,7.3385518590998045,0.7571933366986371,178290.0,0.019101,157500.0,135000.0,135000.0,12,3.0,2.0,2.0,1.0,0.0
293241,0.5255264744665219,0.5136937663039473,34.19972640218878,-11782,0.010524528942454592,-402941.1764705882,-2806,-741.0,-124.0,-571.0,-50367.64705882352,26316.0,4.2749658002735975,0.125,900000.0,0.031329,900000.0,28125.0,112500.0,17,1.0,3.0,3.0,4.0,1.0
189065,0.5696105707486079,0.7610263695502636,19.460415745245463,-17240,0.1382920905634248,-335497.56744803186,-790,-769.0,-2384.155641313444,-701.0,-125811.58779301195,20349.0,7.2976559044670495,0.375,396000.0,0.026392000000000002,396000.0,148500.0,148500.0,17,2.0,1.0,1.0,1.0,0.0
369005,0.6422694277990404,0.7662336700704004,30.998140111593305,-17344,0.023869926199261992,-537631.7420954743,-895,-4495.0,-414.0,-1800.0,-78852.65550733623,21775.5,4.5463938830336845,0.14666666666666667,675000.0,0.006233,675000.0,49500.0,99000.0,18,1.0,2.0,2.0,2.0,0.0
339403,0.5689135119434512,0.524496446363472,21.24369747899161,-13206,0.11328184158715734,-280544.268907563,-5086,-3388.0,-1496.0,-357.0,-79901.84873949579,13387.5,6.050420168067228,0.2848101265822785,284400.0,0.011703,225000.0,27000.0,81000.0,9,0.0,0.0,0.0,3.0,0.0
340345,0.6681465112923016,0.4365064990977374,31.76132701421801,-11408,0.2331697054698457,-362333.21857819904,-3740,-5436.0,-2660.0,-1545.0,-64879.620853080574,47475.0,5.6872037914691935,0.1790606478414239,1507869.0,0.04622,1377000.0,135000.0,270000.0,12,1.0,3.0,3.0,2.0,0.0
234737,0.6237711702336078,0.36227724703843145,34.19972640218878,-15991,0.1682821587142768,-546887.8248974008,-4514,-4514.0,-2691.0,-2052.0,-85679.09256725946,39474.0,5.357957136342909,0.15666666666666668,1350000.0,0.007273999999999998,1350000.0,70500.0,211500.0,19,0.0,1.0,1.0,3.0,0.0
360477,0.659352151254895,0.32173528219668485,20.475025190729813,-13553,0.06943112226075407,-277498.0164099612,-70,-712.0,-941.0,0.0,-58527.42190873759,31261.5,4.3184108248164685,0.2109111361079865,640080.0,0.02461,450000.0,135000.0,135000.0,15,0.0,1.0,1.0,1.0,0.0
147690,0.4876273582138622,0.5108556388496169,20.45945945945946,-8994,0.12052479430731595,-184012.3783783784,-510,-3656.0,-1084.0,-855.0,-37981.41891891892,26640.0,4.222972972972973,0.20640686922060766,545040.0,0.02461,450000.0,37500.0,112500.0,14,1.8999537571385068,0.0,0.0,3.0,0.26547538037573265
100108,0.7566679797246073,0.6413682574954046,17.419818783259025,-12780,0.11071987480438183,-222625.28405005034,-870,-5146.0,-1415.0,-546.0,-69846.10959298145,31288.5,5.465266791313101,0.3137384412153236,545040.0,0.006629,450000.0,34200.0,171000.0,11,0.0,3.0,3.0,5.0,0.0
167882,0.3441470714744494,0.7910749129911773,17.770158049825877,-15542,0.2598764637755759,-276183.7964103938,-4141,-9635.0,-4039.0,0.0,-41634.0744709349,16798.5,2.678810608090008,0.15074770863482875,298512.0,0.01885,270000.0,22500.0,45000.0,14,2.0,9.0,9.0,2.0,0.0
209223,0.5985217699908095,0.5108556388496169,34.0216196408941,-12663,0.18858090499881544,-430815.7695126421,-111,-6730.0,-2388.0,-1608.0,-81202.82154635398,24561.0,6.412605349945035,0.188486186655178,835605.0,0.0031219999999999998,697500.0,52500.0,157500.0,11,1.8999537571385068,0.0,0.0,3.0,0.26547538037573265
155779,0.5046376779945169,0.4471785780453068,34.014764338444074,-19709,0.17819270384088487,-670396.990346394,-2827,-12011.0,-3512.0,-1449.0,-119380.65493091044,23773.5,6.057164489873178,0.17807456872565386,808650.0,0.019101,675000.0,72000.0,144000.0,9,0.0,0.0,0.0,2.0,2.0
170848,0.4350094425294885,0.8327850252992314,10.904317207593387,-11782,0.2852656594805636,-128474.66533986527,-3920,-5707.0,-3361.0,-940.0,-99205.45009185547,29394.0,8.420085731781997,0.7721790893902594,320521.5,0.04622,297000.0,123750.0,247500.0,15,2.0,0.0,0.0,2.0,0.0
175843,0.7077870758177044,0.6178261467332483,30.125018828136767,-13118,0.2091019972556792,-395179.99698749813,-1496,-4565.0,-2743.0,-552.0,-47421.59963849976,29875.5,3.615002259376412,0.12,900000.0,0.006296,900000.0,54000.0,108000.0,11,2.0,0.0,0.0,2.0,1.0
